transaction_id,cust_id,tran_date,prod_subcat_code,prod_cat_code,Qty,Rate,Tax,total_amt,Store_type,date in format,tran_date,date format,date,month,year
80712190438,270351,28-02-2014,1,1,-5,-772,405.3,-4265.3,e-Shop,#NAME?,28-02-2014,28-02-14,28,02,2014
29258453508,270384,27-02-2014,5,3,-5,-1497,785.925,-8270.925,e-Shop,,27-02-2014,27-02-14,27,02,2014
51750724947,273420,24-02-2014,6,5,-2,-791,166.11,-1748.11,TeleShop,,24-02-2014,24-02-14,24,02,2014
93274880719,271509,24-02-2014,11,6,-3,-1363,429.345,-4518.345,e-Shop,,24-02-2014,24-02-14,24,02,2014
51750724947,273420,23-02-2014,6,5,-2,-791,166.11,-1748.11,TeleShop,,23-02-2014,23-02-14,23,02,2014
97439039119,272357,23-02-2014,8,3,-2,-824,173.04,-1821.04,TeleShop,,23-02-2014,23-02-14,23,02,2014
45649838090,273667,22-02-2014,11,6,-1,-1450,152.25,-1602.25,e-Shop,,22-02-2014,22-02-14,22,02,2014
22643667930,271489,22-02-2014,12,6,-1,-1225,128.625,-1353.625,TeleShop,,22-02-2014,22-02-14,22,02,2014
79792372943,275108,22-02-2014,3,1,-3,-908,286.02,-3010.02,MBR,,22-02-2014,22-02-14,22,02,2014
50076728598,269014,21-02-2014,8,3,-4,-581,244.02,-2568.02,e-Shop,,21-02-2014,21-02-14,21,02,2014
29258453508,270384,20-02-2014,5,3,5,1497,785.925,8270.925,e-Shop,,20-02-2014,20-02-14,20,02,2014
25455265351,267750,20-02-2014,12,6,3,1360,428.4,4508.4,e-Shop,,20-02-2014,20-02-14,20,02,2014
1571002198,275023,20-02-2014,6,5,4,587,246.54,2594.54,e-Shop,,20-02-2014,20-02-14,20,02,2014
43134751727,268487,20-02-2014,3,2,-1,-611,64.155,-675.155,e-Shop,,20-02-2014,20-02-14,20,02,2014
36554696014,269345,20-02-2014,3,5,3,1253,394.695,4153.695,e-Shop,,20-02-2014,20-02-14,20,02,2014
56814940239,268799,20-02-2014,7,5,5,368,193.2,2033.2,e-Shop,,20-02-2014,20-02-14,20,02,2014
54295803788,270787,20-02-2014,12,5,5,584,306.6,3226.6,e-Shop,,20-02-2014,20-02-14,20,02,2014
25963520987,274829,20-02-2014,4,4,3,502,158.13,1664.13,Flagship store,,20-02-2014,20-02-14,20,02,2014
17183929085,266863,20-02-2014,1,2,1,1359,142.695,1501.695,TeleShop,,20-02-2014,20-02-14,20,02,2014
44783317894,269452,20-02-2014,3,1,3,825,259.875,2734.875,TeleShop,,20-02-2014,20-02-14,20,02,2014
58957828601,269009,20-02-2014,11,5,4,846,355.32,3739.32,TeleShop,,20-02-2014,20-02-14,20,02,2014
9647515879,268934,20-02-2014,7,5,3,1384,435.96,4587.96,TeleShop,,20-02-2014,20-02-14,20,02,2014
20781077773,269223,20-02-2014,5,3,3,1203,378.945,3987.945,TeleShop,,20-02-2014,20-02-14,20,02,2014
91116291703,268509,20-02-2014,1,2,4,1243,522.06,5494.06,MBR,,20-02-2014,20-02-14,20,02,2014
68325723297,268516,20-02-2014,9,3,1,877,92.085,969.085,e-Shop,,20-02-2014,20-02-14,20,02,2014
73235813024,268774,20-02-2014,3,5,1,76,7.98,83.98,TeleShop,,20-02-2014,20-02-14,20,02,2014
80712190438,270351,20-02-2014,1,1,5,772,405.3,4265.3,e-Shop,,20-02-2014,20-02-14,20,02,2014
66989395597,272785,20-02-2014,10,3,2,474,99.54,1047.54,TeleShop,,20-02-2014,20-02-14,20,02,2014
88853694830,268444,20-02-2014,4,4,-3,-80,25.2,-265.2,MBR,,20-02-2014,20-02-14,20,02,2014
99581788104,267466,20-02-2014,3,2,1,96,10.08,106.08,Flagship store,,20-02-2014,20-02-14,20,02,2014
28396777609,269101,19-02-2014,4,1,4,1386,582.12,6126.12,TeleShop,,19-02-2014,19-02-14,19,02,2014
22391667321,270842,19-02-2014,1,2,5,723,379.575,3994.575,MBR,,19-02-2014,19-02-14,19,02,2014
51075317246,274987,19-02-2014,10,6,5,374,196.35,2066.35,MBR,,19-02-2014,19-02-14,19,02,2014
16199275450,275139,19-02-2014,4,2,1,173,18.165,191.165,MBR,,19-02-2014,19-02-14,19,02,2014
22698449434,269136,19-02-2014,7,5,5,189,99.225,1044.225,TeleShop,,19-02-2014,19-02-14,19,02,2014
13167171971,275149,19-02-2014,4,3,4,804,337.68,3553.68,MBR,,19-02-2014,19-02-14,19,02,2014
32130400636,269772,19-02-2014,12,6,3,229,72.135,759.135,e-Shop,,19-02-2014,19-02-14,19,02,2014
31384765864,267058,19-02-2014,3,2,1,793,83.265,876.265,e-Shop,,19-02-2014,19-02-14,19,02,2014
85894118953,271817,19-02-2014,3,2,3,1401,441.315,4644.315,e-Shop,,19-02-2014,19-02-14,19,02,2014
63407734630,271322,19-02-2014,3,2,5,1360,714,7514,Flagship store,,19-02-2014,19-02-14,19,02,2014
90740728864,268229,19-02-2014,4,2,5,984,516.6,5436.6,TeleShop,,19-02-2014,19-02-14,19,02,2014
82750983847,267544,19-02-2014,3,5,1,805,84.525,889.525,Flagship store,,19-02-2014,19-02-14,19,02,2014
67328698675,268755,19-02-2014,3,2,1,1018,106.89,1124.89,Flagship store,,19-02-2014,19-02-14,19,02,2014
80381707658,269407,19-02-2014,6,5,5,573,300.825,3165.825,e-Shop,,19-02-2014,19-02-14,19,02,2014
78709566028,273023,19-02-2014,10,6,2,1052,220.92,2324.92,e-Shop,,19-02-2014,19-02-14,19,02,2014
67079812295,271818,19-02-2014,10,3,2,1408,295.68,3111.68,MBR,,19-02-2014,19-02-14,19,02,2014
72427583709,268129,19-02-2014,4,4,1,885,92.925,977.925,Flagship store,,19-02-2014,19-02-14,19,02,2014
